City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Meiktila,MM,91.98,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
10,Suzhou,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
13,Saryozek,KZ,70.61,scattered clouds,44.3583,77.9753,Gostinitsa
14,Harper,LR,78.82,overcast clouds,4.375,-7.7169,Screensaver
15,Urumqi,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
19,Loikaw,MM,91.98,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
21,Kharan,PK,86.14,clear sky,28.5833,65.4167,Dil Aram Bangla
23,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
26,Jodhpur,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
30,Leh,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
31,Majene,ID,85.75,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
33,Hithadhoo,MV,84.33,overcast clouds,-0.6,73.0833,Scoop Guest House
41,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
43,Filingue,NE,86.13,clear sky,14.3521,3.3168,
53,Kindia,GN,74.12,overcast clouds,10.0569,-12.8658,LES EAUX DE KILISSI
54,Lang Son,VN,78.17,few clouds,21.8333,106.7333,Khai Nga Hotel
56,Chandbali,IN,90.7,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
58,Sinnamary,GF,77.7,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
59,Lasa,CN,79.68,clear sky,31.3114,120.6181,Holiday Inn Jasmine Suzhou
60,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
62,Gashua,NG,78.78,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
63,Cap Malheureux,MU,75.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
65,Sao Filipe,CV,75.13,overcast clouds,14.8961,-24.4956,Hotel Xaguate
69,Seoul,KR,76.57,clear sky,37.5683,126.9778,롯데호텔 서울
70,Bilma,NE,86.13,clear sky,14.3521,3.3168,
75,Nioro,GM,76.59,few clouds,13.35,-15.75,
76,Kandrian,PG,85.71,few clouds,-6.2167,149.55,
83,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,
86,Butaritari,KI,83.12,broken clouds,3.0707,172.7902,
100,Waingapu,ID,85.75,overcast clouds,-3.5403,118.9707,
103,Tessalit,GM,76.59,few clouds,13.35,-15.75,
108,Chilakalurupet,IN,90.7,clear sky,26.2867,73.03,
112,Bengkulu,ID,85.75,overcast clouds,-3.5403,118.9707,
114,Dingle,PH,89.31,overcast clouds,10.9995,122.6711,
120,Delvada,IN,90.7,clear sky,26.2867,73.03,
121,Meulaboh,ID,85.75,overcast clouds,-3.5403,118.9707,
124,Ponta Do Sol,CV,75.13,overcast clouds,14.8961,-24.4956,
126,Dwarka,IN,90.7,clear sky,26.2867,73.03,
127,Bac Lieu,VN,78.17,few clouds,21.8333,106.7333,
132,Panacan,PH,79.84,overcast clouds,9.2463,118.4082,
135,Mahebourg,MU,75.47,broken clouds,-19.9842,57.6142,
136,Kloulklubed,PW,84.56,clear sky,7.0419,134.2556,
137,Palabuhanratu,ID,85.75,overcast clouds,-3.5403,118.9707,
141,Pilar,PH,79.84,overcast clouds,9.2463,118.4082,
143,Kampong Thum,KH,86.38,overcast clouds,12.7111,104.8887,
144,Paradwip,IN,90.7,clear sky,26.2867,73.03,
145,Souillac,MU,75.47,broken clouds,-19.9842,57.6142,
146,Esik,KZ,70.61,scattered clouds,44.3583,77.9753,
150,Hohhot,CN,79.68,clear sky,31.3114,120.6181,
151,Yumen,CN,79.68,clear sky,31.3114,120.6181,
152,Luanda,AO,73.6,broken clouds,-8.8368,13.2343,
153,Ler,SS,77.59,broken clouds,8.3018,30.1418,
158,Chatra,IN,90.7,clear sky,26.2867,73.03,
160,Namibe,AO,73.6,broken clouds,-8.8368,13.2343,
167,Vanimo,PG,85.71,few clouds,-6.2167,149.55,
171,Soyo,AO,73.6,broken clouds,-8.8368,13.2343,
173,Victoria,HK,79.97,scattered clouds,22.2855,114.1577,
177,Dong Xoai,VN,78.17,few clouds,21.8333,106.7333,
181,Sandakan,MY,87.48,scattered clouds,5.8402,118.1179,
182,Faranah,GN,74.12,overcast clouds,10.0569,-12.8658,
185,Bandarban,BD,87.51,scattered clouds,22.1965,92.2262,
189,Xiongzhou,CN,79.68,clear sky,31.3114,120.6181,
190,Marsh Harbour,BS,76.28,overcast clouds,26.5412,-77.0636,
191,Airai,PW,84.56,clear sky,7.0419,134.2556,
194,Pithapuram,IN,90.7,clear sky,26.2867,73.03,
200,Trat,TH,86.88,overcast clouds,12.5,102.5,
202,Saint George,US,90.19,clear sky,37.1041,-113.5841,
203,Kathu,TH,86.88,overcast clouds,12.5,102.5,
205,Grand River South East,MU,75.47,broken clouds,-19.9842,57.6142,
211,Kavieng,PG,85.71,few clouds,-6.2167,149.55,
212,Thinadhoo,MV,84.33,overcast clouds,-0.6,73.0833,
220,Edd,ER,88.75,clear sky,13.9297,41.6925,
223,Lorengau,PG,85.71,few clouds,-6.2167,149.55,
228,Kailaras,IN,90.7,clear sky,26.2867,73.03,
233,Salalah,OM,80.47,clear sky,17.0151,54.0924,
236,Tombouctou,GM,76.59,few clouds,13.35,-15.75,
239,Baiyin,CN,79.68,clear sky,31.3114,120.6181,
243,Dhidhdhoo,MV,84.33,overcast clouds,-0.6,73.0833,
245,Jumla,NP,70.09,scattered clouds,29.2747,82.1838,
246,Bambous Virieux,MU,75.47,broken clouds,-19.9842,57.6142,
250,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,
252,Rungata,KI,83.12,broken clouds,3.0707,172.7902,
256,Weihai,CN,79.68,clear sky,31.3114,120.6181,
258,Saint-Pierre,RE,71.91,broken clouds,-21.3393,55.4781,
264,Poum,NC,78.4,broken clouds,-20.2333,164.0167,
265,Koumac,NC,78.4,broken clouds,-20.2333,164.0167,
